teilnehmer_id;anrede;vorname;nachname;email;telefon;firma;position;branche;plz;ort;land;ticket_typ;teilnahmetage;anzahl_teilnahmetage;newsletter_opt_in;anmeldedatum_event;erstellt_am
TN-00001;Herr;Michael;Peters;michael.peters@schulzfassadenhand.de;+49 9233 191161;Schulz Fassaden Handwerk GmbH;Polier/-in;Dachdecker;87534;Oberstaufen;DE;3-Tages-Ticket;"14.01.2026;15.01.2026;16.01.2026";3;true;2026-01-10;2026-01-10T17:38:53
TN-00002;Herr;Tobias;Klein;tobias.klein@schulzebaugmbhcokg.de;+49 8839 717889;Schulze Bau GmbH & Co. KG;Projektleiter/-in;Bauhandwerk;84028;Landshut;DE;2-Tages-Ticket;"15.01.2026;16.01.2026";2;false;2025-12-16;2025-12-16T03:36:40
TN-00003;Herr;Felix;Krüger;felix.krueger@moellerputzek.de;+49 8470 988662;Möller Putz e.K.;Architekt/-in;Bauingenieurwesen;87534;Oberstaufen;DE;2-Tages-Ticket;"14.01.2026;15.01.2026";2;true;2025-09-19;2025-09-19T08:13:37
TN-00004;Herr;Simon;König;simon.koenig@meyernatursteinbau.de;+49 8481 705397;Meyer Naturstein Bau GmbH;Meister/-in;Garten- und Landschaftsbau;80331;München;DE;3-Tages-Ticket;"14.01.2026;15.01.2026;16.01.2026";3;true;2026-01-01;2026-01-01T09:40:25
TN-00005;Herr;Patrick;Meyer;patrick.meyer@architekturbuerome.de;+49 8494 270555;Architekturbüro Meyer;Architekt/-in;Maler & Stuckateur;78462;Konstanz;DE;2-Tages-Ticket;"15.01.2026;16.01.2026";2;true;2025-10-25;2025-10-25T07:27:03
TN-00006;Frau;Susanne;Keller;susanne.keller@ingenieurbuerokell.de;+49 8105 771088;Ingenieurbüro Keller;Mitarbeiter/-in Verkauf Innendienst;Trockenbau;89077;Ulm;DE;2-Tages-Ticket;"15.01.2026;16.01.2026";2;true;2025-10-03;2025-10-03T01:30:38
TN-00007;Frau;Claudia;Klein;claudia.klein@kleinbaustoffe.de;+49 9323 852787;Klein Baustoffe;Architekt/-in;Bauträger;78462;Konstanz;DE;Tagesticket;14.01.2026;1;false;2025-10-23;2025-10-23T07:45:46
TN-00008;Frau;Annika;Hoffmann;annika.hoffmann@petersfassadenbaug.de;+49 8754 711878;Peters Fassaden Bau GmbH;Einkäufer/-in;Maler & Stuckateur;89312;Günzburg;DE;3-Tages-Ticket;"14.01.2026;15.01.2026;16.01.2026";3;true;2025-10-22;2025-10-22T08:27:52
TN-00009;Herr;Konstantin;Herrmann;konstantin.herrmann@ganglstuckgmbh.de;+49 9787 542666;Gangl Stuck GmbH;Polier/-in;Baustoffhandel;87459;Pfronten;DE;Tagesticket;15.01.2026;1;true;2026-01-01;2026-01-01T04:06:37
TN-00010;Frau;Elke;Schröder;elke.schroeder@architekturbuerosc.de;+49 9199 887352;Architekturbüro Schröder;Projektleiter/-in;Sanierung/Denkmalschutz;93047;Regensburg;DE;3-Tages-Ticket;"14.01.2026;15.01.2026;16.01.2026";3;true;2025-09-23;2025-09-23T13:50:59
TN-00011;Frau;Franziska;Schäfer;franziska.schaefer@koehlerholzbaumeis.de;+49 9561 412942;Köhler Holzbau Meisterbetrieb;Niederlassungsleiter/-in;Trockenbau;87616;Marktoberdorf;DE;3-Tages-Ticket;"14.01.2026;15.01.2026;16.01.2026";3;false;2025-12-08;2025-12-08T21:58:05
TN-00012;Herr;Uwe;Möller;uwe.moeller@kellerbauek.de;+49 8486 972064;Keller Bau e.K.;Projektleiter/-in;Bauträger;88212;Ravensburg;DE;Tagesticket;14.01.2026;1;true;2025-09-05;2025-09-05T02:46:05
TN-00013;Herr;Markus;Jung;markus.jung@moellermalerbaugmb.de;+49 9251 273148;Möller Maler Bau GmbH;Projektleiter/-in;Trockenbau;87459;Pfronten;DE;3-Tages-Ticket;"14.01.2026;15.01.2026;16.01.2026";3;false;2025-09-26;2025-09-26T06:20:51
TN-00014;Frau;Monika;Brutscher;monika.brutscher@langputzek.de;+49 8794 642717;Lang Putz e.K.;Vertriebsmitarbeiter/-in;Baustoffhandel;78462;Konstanz;DE;3-Tages-Ticket;"14.01.2026;15.01.2026;16.01.2026";3;true;2026-01-09;2026-01-09T18:17:17
TN-00015;Herr;Wolfgang;Schmidt;wolfgang.schmidt@planungsbueroschmi.de;+49 9899 761759;Planungsbüro Schmidt;Geschäftsführer/-in;Bauträger;83278;Traunstein;DE;Tagesticket;14.01.2026;1;true;2025-10-14;2025-10-14T02:17:14
TN-00016;Herr;Wolfgang;Weber;wolfgang.weber@winklerholzbauag.de;+49 9338 704201;Winkler Holzbau AG;Vertriebsmitarbeiter/-in;Bauträger;88131;Lindau;DE;Tagesticket;15.01.2026;1;false;2025-12-15;2025-12-15T01:00:44
